Columbia	3	12/26/1928	New York, New York	W147729	1702-D	The song I love / Ben Selvin and his Orchestra
Columbia	2	1/18/1929	New York, New York	W147866	1724-D	Weary river [Motion picture]. Weary river / Jan Garber Orchestra
Columbia	3	1/23/1929	New York, New York	W147886	1717-D	The shopworn angel [Motion picture]. A precious little thing called love / Ipana Troubadours ; Sam Lanin
Columbia	2	1/16/1929	New York, New York	W147795	1711-D	The song I love / James Melton
Columbia	3	12/13/1928	New York, New York	W147423	1709-D	Glad rag doll / Ted Lewis and his Band
Columbia	3	2/19/1929	New York, New York	W147967	1743-D	Weary river [Motion picture]. Weary river / Goodrich Silvertown Quartet
Columbia	2	2/13/1929	New York, New York	W147956	1739-D	Redskin [Motion picture]. Redskin / Ben Selvin and his Orchestra ; Mildred Hunt
Columbia	4	2/5/1929	New York, New York	W147726	1735-D	If you like me like I like you / Clarence Williams’ Jazz Kings
Columbia	2	1/28/1929	New York, New York	W147894	1732-D	Mississippi (Here I am) / Norman Clark
Columbia	3	2/4/1929	San Francisco, California	W147841	1727-D	The Utah trail / Pearce Brothers
Columbia	1	9/13/1928	New York, New York	W146989	1752-D	Main Street / Blue Grass Boys ; Lee Morse
Columbia	3	2/14/1929	New York, New York	W147849	1745-D	Auf dem Kirchhofe [Lieder, op. 105. Auf dem Kirchhofe] / Alexander Kipnis
Columbia	7	1/21/1929	New York, New York	W147404	1760-D	Marcheta / James Melton
Columbia	4	12/11/1928	New York, New York	W147416	1789-D	Limehouse blues / Ted Lewis and his Band
Columbia	6	1/27/1928	New York, New York	W145532	1294-D	A Connecticut Yankee. My heart stood still / James Melton
Victor	2	11/9/1925	Buenos Aires, Argentina [unconfirmed]	BA-703	79608	Sarandí / Orquesta Típica Victor
Victor	2	9/22/1925	Buenos Aires, Argentina [unconfirmed]	BA-665	79591	Buena vida / Orquesta Típica Fresedo
Victor	1	10/31/1925	Buenos Aires, Argentina [unconfirmed]	BA-721	79616	Tiento sobao / Rosita Quiroga
Victor	3	9/21/1925	Buenos Aires, Argentina [unconfirmed]	BA-663	79590	Te perdono / Orquesta Típica de Caro
Victor	1	10/31/1925	Buenos Aires, Argentina [unconfirmed]	BA-717	79615	Horas tristes / Orquesta Típica de Caro
Victor	2	12/30/1925	Buenos Aires, Argentina [unconfirmed]	BA-737	79625	Chacabuco / Orquesta Típica de Caro
Victor	3	9/1/1925	Buenos Aires, Argentina [unconfirmed]	BA-651	79584	Atilio Pelossi / Orquesta Típica de Caro
Victor	[1]	10/31/1924	Buenos Aires, Argentina [unconfirmed]	BA-478	79505	Un antojo / Orquesta Típica Fresedo
Victor	1	4/30/1925	Buenos Aires, Argentina [unconfirmed]	BA-592	79553	Buen amigo / Orquesta Típica de Caro
Zonophone	Unknown	2/28/1909	New York, New York	9097	5446	Der Maler (Two-step) / Zonophone Orchestra
Columbia	1	10/11/1915	New York, New York	46088	E2601	Amarât ca mine nu e / Petru Laicu Şi Orchestra Lui
Columbia	1	12/31/1923		89575	22004-F	Grabo valsen / Arvid Franzen ; John Lager
Columbia	2	8/31/1923		89385	22000-F	Ö landstöser schottisch / Einar Holt ; Henry Magnuson
Columbia	1	7/1/1924		105049	22008-F	Undan med gubbarna / Einar Holt
Columbia	1	2/28/1925		105489	22016-F	Då skulle morsan vara mä / Arvid Franzen ; John Lager
Edison	A	1/25/1923	New York, New York	8827	51128	My Rose Marie / Charles Hart
Edison	C	8/21/1923	New York, New York	9121	51243	Indiana moon / Harry Barth's Mississippians
Edison	C	12/10/1924	New York, New York	9903	51458	Nancy / Dave Harman Orchestra
Edison	A	6/13/1918	New York, New York	6211	50508	Clover club / Imperial Marimba Band
Edison	B	3/13/1919	New York, New York	6666	50538	All those in favor say aye / Arthur Fields
Edison	C	2/28/1918	New York, New York	6035	50531	Hands across the sea march / New York Military Band
Edison	C	6/26/1919	New York, New York	6848	50599	Uncle Josh and the honey bees : A rural story. / Cal Stewart
Edison	C	5/17/1920	New York, New York	7352	50681	Close to your heart / Gladys Rice
Edison	C	5/20/1920	New York, New York	7358	50679	Lassie. Lassie waltz / Lenzberg's Riverside Orchestra
Edison	B	8/5/1920	New York, New York	7480	50704	In old Manila / Lewis James ; Betsy Lane Shepherd
Edison	C	7/26/1920	New York, New York	7464	50702	Pussy willow waltzes / Imperial Marimba Band
Edison	B	12/30/1920	New York, New York	7711	50755	Mother of pearl / George Wilton Ballard
Columbia	1	10/11/1915	New York, New York	46087	E2603	Mergem la bordei la / Petru Laicu Şi Orchestra Lui
Edison	B	4/18/1922		8425	50970	Mister Gallagher and Mister Shean / Edward Meeker ; Steve Porter
Edison	B	9/4/1913	New York, New York	2439	50072	The mocking bird : Fantasia / Charles Daab
Edison	B	10/7/1915	New York, New York	4177	80286	The Holy City / Hardy Williamson
Edison	B	8/31/1917	New York, New York	5759	82154	Caprice espagnol / André Benoist ; Albert Spalding
Edison	C	8/27/1913	New York, New York	2429	50095	In Cairo / New York Military Band
Edison	B	12/3/1913	New York, New York	2603	50161	Fifth nocturne [Nocturnes, piano, no. 5, op. 52] / American Symphony Orchestra
Edison	C	5/8/1915	New York, New York	3767	50263	Uncle Josh buys an automobile / Cal Stewart
Edison	A	9/2/1915	New York, New York	4086	50300	The blue jay and the thrush / Joseph Belmont ; Byron G. Harlan
Edison	B	7/3/1916	New York, New York	4838	50397	Mighty lak' a rose waltz / Jaudas' Society Orchestra
Edison	B	3/22/1916	New York, New York	4600	50392	Hapa haole hula girl / Louise and Ferera
Edison	A	1/17/1917	New York, New York	5297	50406	Aloha sunset land / Waikiki Hawaiian Orchestra
Edison	C	8/2/1917	New York, New York	5723	50470	Umbrellas to mend / Frisco "Jass" Band
Edison	C	2/5/1918	New York, New York	5995	50478	The colored recruits / Golden and Heins
Edison	C	3/31/1914	New York, New York	2858	80063	La paloma / American Symphony Orchestra
Edison	B	7/15/1912	New York, New York	1120	80089	Baby Rose / Walter Van Brunt
Edison	A	2/20/1913	New York, New York	2149	80118	Won't you write a letter, Papa / Walter Van Brunt
Edison	B	1/29/1913	New York, New York	2114	80116	The last rose of summer / Venetian Instrumental Quartet
Berliner	Y	6/19/1897	New York, New York	230	230	Commodore polka / Artists vary
Edison	C	6/5/1914	New York, New York	3083	80172	The star spangled banner / Thomas Chalmers
Edison	A	3/30/1914	New York, New York	2911	80166	Someone / Vernon Archibald ; Elizabeth Spencer
Edison	C	4/27/1915	New York, New York	3732	80247	Song of the chimes / Beatrice Collin
Edison	C	5/11/1916	New York, New York	4721	80320	Rock me to sleep, Mother / Elizabeth Spencer
Edison	C	10/27/1916	New York, New York	5103	80346	Schön Rosmarin [Alt-Wiener Tanzweisen. Schön Rosmarin; arranged] / George Hamilton Green
Edison	C	1/17/1917	New York, New York	5298	80398	My Waikiki mermaid / Waikiki Hawaiian Orchestra
Edison	A	11/3/1916	New York, New York	5126	80416	The ninety and nine / Christine Miller
Edison	C	11/8/1918	New York, New York	6451	80453	Sundown in Birdland : A bird symphony. / Sibyl Sanderson Fagan ; Harvey Wilson
Edison	A	3/11/1919	New York, New York	6661	80465	Beautiful Ohio / Metropolitan Quartet
Columbia	2	7/26/1927	New York, New York	W144504	1085-D	Just another day wasted away (Waiting for you) / Broadway Nitelites ; Bob Carroll
