id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
111646,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",102117,Ines,City of Los Angeles,North Hollywood,34.17324,-118.38833,Private room,59,30,17,2019-11-20,0.18,1,353,0,
113253,"Cali, Cozy, Rustic Log Cabin Feel",576425,David,City of Los Angeles,Mid-City,34.04884,-118.37155,Private room,80,30,12,2019-07-04,0.18,1,283,0,
114203,Executive 1 Bedroom Suite-LUXURY!!!,579779,Chaim,Other Cities,West Hollywood,34.09513,-118.36875,Entire home/apt,125,30,29,2021-10-11,0.25,1,286,3,
120005,Motel Rm $450wk /free wifi and parking,195697,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,70,1,73,2021-11-28,0.58,7,180,17,
121717,Updated Mid-Century Property by Angeles National Forest,219283,Katy,Unincorporated Areas,Altadena,34.20977,-118.16546,Entire home/apt,100,1,30,2021-11-08,0.24,8,338,10,
124199,BEVERLY HILLS APT,619518,Beverly Hills Apt.,Other Cities,Beverly Hills,34.06547,-118.40422,Entire home/apt,149,3,72,2021-11-07,0.57,2,281,25,
127766,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",523903,Michelle,City of Los Angeles,Echo Park,34.08839,-118.24838,Entire home/apt,110,30,12,2021-10-29,0.12,4,20,2,Exempt - This listing is a transient occupancy residential structure
130915,Pvt. Home Available,644202,Jeff,Other Cities,Calabasas,34.13097,-118.70429,Private room,80,1,324,2021-08-23,2.83,1,11,19,
131174,Santa Monica Beach Suite 5,648867,Anthony,City of Los Angeles,Pacific Palisades,34.02732,-118.51856,Private room,118,30,256,2021-11-23,2.98,3,216,11,Exempt - This listing is a hotel or motel
131557,sweet little apt,78804,Sophie,City of Los Angeles,Echo Park,34.08023,-118.25646,Entire home/apt,120,30,80,2021-01-31,1.21,6,216,3,
131635,COZY BEDROOM FOR TWO  (2 TWIN BEDS),647546,Marco,City of Los Angeles,Valley Glen,34.1831,-118.39929,Private room,50,30,76,2021-10-09,0.60,4,65,1,HSR19-003988
132908,Spectacular Home With Breathtaking View,633484,Alexio & Vero,City of Los Angeles,Hollywood Hills West,34.10236,-118.37752,Entire home/apt,1107,30,249,2021-01-24,2.10,1,365,1,HSR20-002235
134553,The Creative Suite in Topanga Cyn,592405,David,Unincorporated Areas,Topanga,34.09729,-118.61616,Entire home/apt,90,1,389,2021-11-07,3.80,7,348,59,
135608,Arts District Private Room 226,156094545,Sogo,City of Los Angeles,Downtown,34.04827,-118.23603,Private room,50,2,94,2021-11-11,0.98,15,327,12,
137215,Sage in Quiet Canyon with 2 Furnished Patios,523903,Michelle,City of Los Angeles,Echo Park,34.08916,-118.2489,Entire home/apt,165,30,12,2020-12-23,0.16,4,334,1,Exempt - This listing is a transient occupancy residential structure
138211,Santa Monica/Brentwood Guest House,674917,Julie,City of Los Angeles,Sawtelle,34.03493,-118.4629,Entire home/apt,150,31,518,2019-06-15,4.94,1,219,0,
138244,Garden of Edenhurst Guest House - 1BR,675083,Alejandra,City of Los Angeles,Atwater Village,34.1217,-118.26329,Entire home/apt,145,20,96,2021-11-19,0.75,4,293,5,HSR21-001354
143210,"Cozy room1; Silverlake, Los Angeles",694988,Peter And Diane,City of Los Angeles,Los Feliz,34.09869,-118.27475,Private room,120,30,82,2019-04-27,0.65,2,279,0,
150075,Beautiful 2 BEDROOMS 1 BATH  IN NORTH HOLLYWOOD,647546,Marco,City of Los Angeles,Valley Glen,34.18256,-118.39972,Entire home/apt,148,30,61,2019-07-22,0.49,4,34,0,HSR19-003988
150097,CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO,647546,Marco,City of Los Angeles,Valley Glen,34.18163,-118.39925,Private room,60,30,216,2020-11-29,1.95,4,155,0,Exempt - This listing is a bed and breakfast
152333,Huge 2BR:Walk to All -Grove/CBS S.D,465624,Angie,City of Los Angeles,Fairfax,34.07824,-118.35823,Entire home/apt,160,30,93,2020-11-01,0.75,7,338,0,
153412,Beautiful Venice Beach Canal house,737626,Kaj,City of Los Angeles,Venice,33.98335,-118.46769,Entire home/apt,195,30,61,2019-11-14,0.49,1,31,0,
160288,Topanga Mountain Wonderland Cottage,592405,David,Unincorporated Areas,Topanga,34.09793,-118.61621,Entire home/apt,123,1,491,2021-11-18,3.89,7,316,103,
164889,Japanese Teahouse in Topanga,592405,David,Unincorporated Areas,Topanga,34.09813,-118.61599,Entire home/apt,133,1,302,2021-11-22,2.39,7,321,112,
164946,Arts District Private Room 234,156094545,Sogo,City of Los Angeles,Downtown,34.04827,-118.23603,Private room,47,1,59,2021-11-20,0.48,15,340,9,
165978,Comfy Large 2 Bd 2 Bath Parking Pet Friendly,294812,Arna & Terri,City of Los Angeles,Fairfax,34.06923,-118.34549,Entire home/apt,195,30,21,2021-08-10,0.32,2,365,2,
172707,Maple: Quiet Canyon Condo with 2 Garden Patios,523903,Michelle,City of Los Angeles,Echo Park,34.08913,-118.24896,Entire home/apt,125,30,21,2020-02-16,0.22,4,330,0,Exempt - This listing is a transient occupancy residential structure
173568,"""Melrose"" Adorable 2 bd apt.  M1",465624,Angie,City of Los Angeles,Fairfax,34.08475,-118.35117,Entire home/apt,89,30,101,2019-04-01,1.94,7,189,0,
180926,"Malibu Charming, Cozy Home Studio in Nature",866997,Rebecca,Unincorporated Areas,Unincorporated Santa Monica Mountains,34.07054,-118.89799,Entire home/apt,220,2,83,2021-11-21,0.66,1,87,38,
181430,Huge and rare 2br duplex in Santa Monica,869641,Aaron,Other Cities,Santa Monica,34.03441,-118.47219,Entire home/apt,139,13,18,2021-11-12,0.14,1,337,2,Exempt
181511,"Sunny, spacious apartment with deck",870087,Martineke,City of Los Angeles,Elysian Valley,34.10053,-118.24925,Entire home/apt,140,30,36,2021-09-16,0.29,2,335,3,Exempt - This listing is a bed and breakfast
183319,Panoramic Ocean View Venice Beach,867995,Barbara X,City of Los Angeles,Venice,33.99211,-118.476,Entire home/apt,152,30,3,2019-02-25,0.03,2,0,0,
184314,Boho Chic Flat..Steps to Beach!,884031,Ashley,City of Los Angeles,Venice,33.97487,-118.46312,Entire home/apt,125,30,30,2017-12-24,0.26,1,0,0,
185536,Lovely Private rm in Home to FEMALE (Red Room),890778,Laura,City of Los Angeles,Westchester,33.96154,-118.42373,Private room,75,30,12,2020-12-05,0.10,2,359,0,
185557,"Private Room in Home to FEMALE, pls (Purple Room)",890778,Laura,City of Los Angeles,Westchester,33.962,-118.42204,Private room,75,30,11,2021-10-31,0.12,2,257,2,
187526,Malibu Pacific Ocean View Room 1,215462,Paul,Other Cities,Malibu,34.03073,-118.75513,Private room,350,2,182,2021-09-06,1.58,5,358,19,Exempt
188081,Griffith Park Home - Available Summer 2018,905689,Daniel,City of Los Angeles,Hollywood Hills,34.11088,-118.30782,Entire home/apt,60,30,0,,,2,334,0,
191733,Gorgeous Spanish/Modern Guesthouse,1597048,Shelli-Anne,City of Los Angeles,Atwater Village,34.11365,-118.25162,Entire home/apt,100,31,84,2021-01-22,0.68,1,220,2,
194809,Large 1 BR Culver City Peaceful Getaway!,946246,Michelle,City of Los Angeles,Palms,34.0238,-118.40512,Entire home/apt,59,30,23,2019-11-12,0.20,1,0,0,
195229,"Great West L.A. location, near much",393829,Debra,City of Los Angeles,Mar Vista,34.02035,-118.43428,Private room,114,2,31,2020-02-17,0.27,1,365,0,HSR21-001488
196410,Little villa Apartment,78804,Sophie,City of Los Angeles,Echo Park,34.08187,-118.25663,Entire home/apt,130,30,58,2019-09-24,0.48,6,0,0,
